molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,target_chembl_id,label_active,MolWt,MolLogP,TPSA,NumHAcceptors,NumHDonors,NumRotatableBonds,RingCount
CHEMBL357803,Cc1[nH]c(/C=C2\C(=O)Nc3ccc(Br)cc32)c(C)c1CCC(=O)O,IC50,1730.0,nM,CHEMBL279,0,389.2490000000002,3.903940000000002,82.19,2,3,4,3
CHEMBL146697,Cc1c(CCC(=O)O)c[nH]c1/C=C1\C(=O)Nc2ccc(S(N)(=O)=O)cc21,IC50,920.0,nM,CHEMBL279,1,375.4060000000001,1.4804199999999996,142.35,4,4,5,3
CHEMBL146694,COc1ccccc1-c1ccc2c(c1)NC(=O)/C2=C\c1[nH]c(C)c(CCC(=O)O)c1C,IC50,4370.0,nM,CHEMBL279,0,416.47700000000026,4.817040000000003,91.42,3,3,6,4
CHEMBL148514,COc1cccc(-c2ccc3c(c2)NC(=O)/C3=C\c2[nH]cc(CCC(=O)O)c2C)c1,IC50,90.0,nM,CHEMBL279,1,402.45000000000016,4.508620000000001,91.42,3,3,6,4
CHEMBL443296,CCOc1cccc(-c2ccc3c(c2)NC(=O)/C3=C\c2[nH]cc(C)c2CCC(=O)O)c1,IC50,1000.0,nM,CHEMBL279,0,416.4770000000002,4.898720000000003,91.42,3,3,7,4
CHEMBL149243,COc1ccc2c(c1)NC(=O)/C2=C\c1[nH]cc(CCC(=O)O)c1C,IC50,1350.0,nM,CHEMBL279,0,326.35200000000003,2.8416200000000007,91.42,3,3,5,3
CHEMBL149073,Cc1[nH]c(/C=C2\C(=O)Nc3ccc(C(=O)O)cc32)c(C)c1CCC(=O)O,IC50,70.0,nM,CHEMBL279,1,354.36200000000014,2.839640000000001,119.49,3,4,5,3
CHEMBL148984,COc1ccc(-c2ccc3c(c2)NC(=O)/C3=C\c2[nH]cc(CCC(=O)O)c2C)cc1,IC50,450.0,nM,CHEMBL279,1,402.4500000000002,4.508620000000002,91.42,3,3,6,4
CHEMBL347074,Cc1c(CCC(=O)O)c[nH]c1/C=C1\C(=O)Nc2cc(-c3ccccc3)ccc21,IC50,300.0,nM,CHEMBL279,1,372.4240000000001,4.500020000000003,82.19,2,3,5,4
CHEMBL344319,Cc1c(CCC(=O)O)c[nH]c1/C=C1\C(=O)Nc2ccccc21,IC50,2140.0,nM,CHEMBL279,0,296.326,2.833020000000001,82.19,2,3,4,3
CHEMBL356245,COc1ccc2c(c1)NC(=O)/C2=C\c1[nH]c(C)c(CCC(=O)O)c1C,IC50,8290.0,nM,CHEMBL279,0,340.3790000000001,3.1500400000000015,91.42,3,3,5,3
CHEMBL150151,COc1ccc(-c2ccc3c(c2)NC(=O)/C3=C\c2[nH]c(C)c(CCC(=O)O)c2C)cc1,IC50,520.0,nM,CHEMBL279,1,416.47700000000026,4.817040000000003,91.42,3,3,6,4
CHEMBL358728,COc1cccc(-c2ccc3c(c2)NC(=O)/C3=C\c2[nH]c(C)c(CCC(=O)O)c2C)c1,IC50,300.0,nM,CHEMBL279,1,416.4770000000002,4.817040000000002,91.42,3,3,6,4
CHEMBL149201,Cc1[nH]c(/C=C2\C(=O)Nc3cc(-c4ccccc4)ccc32)c(C)c1CCC(=O)O,IC50,140.0,nM,CHEMBL279,1,386.45100000000025,4.808440000000003,82.19,2,3,5,4
CHEMBL148744,Cc1c[nH]c(/C=C2\C(=O)Nc3ccc(Br)cc32)c1CCC(=O)O,IC50,350.0,nM,CHEMBL279,1,375.2220000000002,3.5955200000000014,82.19,2,3,4,3
CHEMBL150177,Cc1[nH]c(/C=C2\C(=O)Nc3ccc(S(N)(=O)=O)cc32)c(C)c1CCC(=O)O,IC50,1260.0,nM,CHEMBL279,0,389.4330000000002,1.7888400000000002,142.34999999999997,4,4,5,3
CHEMBL147112,COc1ccccc1-c1ccc2c(c1)NC(=O)/C2=C\c1[nH]cc(CCC(=O)O)c1C,IC50,1470.0,nM,CHEMBL279,0,402.4500000000002,4.508620000000002,91.42,3,3,6,4
CHEMBL142425,C[C@H](O)CNc1cc(-c2[nH]c3cccnc3c2-c2ccc(F)cc2)ccn1,IC50,10000.0,nM,CHEMBL279,0,362.408,4.223700000000003,73.83,4,3,5,4
CHEMBL48834,Cc1cc(C)cc(Nc2nccc(-n3ccnc3-c3cccnc3)n2)c1,IC50,2390.0,nM,CHEMBL279,0,342.406,4.084740000000002,68.52000000000001,6,1,4,4
CHEMBL46694,CC(=O)N1CCN(Cc2cc(C)cc(Nc3nccc(-n4ccnc4-c4ccccc4)n3)c2)CC1,IC50,32.0,nM,CHEMBL279,1,467.5770000000002,4.045420000000003,79.18,7,1,6,5
CHEMBL45752,Cc1cc(C)cc(Nc2nccc(-n3ccnc3-c3ccccc3)n2)c1,IC50,6.0,nM,CHEMBL279,1,341.418,4.689740000000003,55.63,5,1,4,4
CHEMBL297769,Cc1cc(CO)cc(Nc2nccc(-n3ccnc3-c3ccccc3)n2)c1,IC50,9.0,nM,CHEMBL279,1,357.4170000000001,3.8736200000000016,75.86,6,2,5,4
CHEMBL297012,COc1ccc(Nc2nccc(-n3ccnc3-c3ccccc3)n2)cc1,IC50,392.0,nM,CHEMBL279,1,343.39000000000004,4.081500000000002,64.86,6,1,5,4
CHEMBL45405,Cc1cc(C)cc(Nc2nccc(-n3ccnc3-c3ccc[n+]([O-])c3)n2)c1,IC50,1410.0,nM,CHEMBL279,0,358.40500000000003,3.3231400000000013,82.57000000000001,6,1,4,4
CHEMBL45388,Clc1cc(Cl)cc(Nc2nccc(-n3ccnc3-c3ccccc3)n2)c1,IC50,26.0,nM,CHEMBL279,1,382.25400000000013,5.379700000000003,55.63,5,1,4,4
CHEMBL45015,Cc1cc(C)cc(Nc2nccc(-n3ccnc3Cl)n2)c1,IC50,60.0,nM,CHEMBL279,1,299.76500000000004,3.676140000000001,55.63,5,1,3,3
